Year,DayOfYear,Month,Day,Date,LakeLevel,Source
1984,199,7,17,1984-07-17 00:00:00,69.1,FRI
1984,200,7,18,1984-07-18 00:00:00,70.1,FRI
1984,201,7,19,1984-07-19 00:00:00,71.1,FRI
1984,202,7,20,1984-07-20 00:00:00,72.1,FRI
1984,205,7,23,1984-07-23 00:00:00,74.6,FRI
1984,206,7,24,1984-07-24 00:00:00,74.6,FRI
1984,207,7,25,1984-07-25 00:00:00,75.1,FRI
1984,208,7,26,1984-07-26 00:00:00,75.3,FRI
1984,209,7,27,1984-07-27 00:00:00,76.1,FRI
1984,217,8,4,1984-08-04 00:00:00,81.1,FRI
1984,219,8,6,1984-08-06 00:00:00,83.6,FRI
1984,224,8,11,1984-08-11 00:00:00,87.1,FRI
1984,226,8,13,1984-08-13 00:00:00,87.1,FRI
1984,227,8,14,1984-08-14 00:00:00,88.1,FRI
1984,228,8,15,1984-08-15 00:00:00,88.3,FRI
1984,229,8,16,1984-08-16 00:00:00,86.1,FRI
1984,230,8,17,1984-08-17 00:00:00,86.1,FRI
1984,241,8,28,1984-08-28 00:00:00,102.1,FRI
1984,242,8,29,1984-08-29 00:00:00,102.1,FRI
1984,243,8,30,1984-08-30 00:00:00,104.1,FRI
1984,247,9,3,1984-09-03 00:00:00,101.6,FRI
1984,247,9,3,1984-09-03 00:00:00,102.1,FRI
1984,261,9,17,1984-09-17 00:00:00,99.1,FRI
1984,262,9,18,1984-09-18 00:00:00,99.6,FRI
1984,263,9,19,1984-09-19 00:00:00,100.6,FRI
1987,246,9,3,1987-09-03 00:00:00,157.5,FRI
1987,247,9,4,1987-09-04 00:00:00,159.5,FRI
1987,248,9,5,1987-09-05 00:00:00,155,FRI
1987,249,9,6,1987-09-06 00:00:00,155,FRI
1987,250,9,7,1987-09-07 00:00:00,157.7,FRI
1987,251,9,8,1987-09-08 00:00:00,157.5,FRI
1987,252,9,9,1987-09-09 00:00:00,157.5,FRI
1987,253,9,10,1987-09-10 00:00:00,162,FRI
2003,221,8,9,2003-08-09 00:00:00,83,FRI
2003,227,8,15,2003-08-15 00:00:00,91,FRI
2003,230,8,18,2003-08-18 00:00:00,93,FRI
2003,232,8,20,2003-08-20 00:00:00,96,FRI
2003,233,8,21,2003-08-21 00:00:00,98,FRI
2003,234,8,22,2003-08-22 00:00:00,98,FRI
2003,234,8,22,2003-08-22 00:00:00,118.872,FRI
2003,236,8,24,2003-08-24 00:00:00,98,FRI
2003,238,8,26,2003-08-26 00:00:00,99,FRI
2003,239,8,27,2003-08-27 00:00:00,99,FRI
2003,240,8,28,2003-08-28 00:00:00,98,FRI
2003,244,9,1,2003-09-01 00:00:00,105,FRI
2003,244,9,1,2003-09-01 00:00:00,121.92,FRI
2003,68,3,9,2003-03-09 00:00:00, 93.58 ,PileBay
2003,81,3,22,2003-03-22 00:00:00, 84.44 ,PileBay
2003,110,4,20,2003-04-20 00:00:00, 58.53 ,PileBay
2003,118,4,28,2003-04-28 00:00:00, 50.91 ,PileBay
2003,124,5,4,2003-05-04 00:00:00, 44.82 ,PileBay
2003,143,5,23,2003-05-23 00:00:00, 41.77 ,PileBay
2003,153,6,2,2003-06-02 00:00:00, 37.20 ,PileBay
2003,165,6,14,2003-06-14 00:00:00, 46.34 ,PileBay
2003,173,6,22,2003-06-22 00:00:00, 53.96 ,PileBay
2003,181,6,30,2003-06-30 00:00:00, 66.15 ,PileBay
2003,183,7,2,2003-07-02 00:00:00, 63.10 ,PileBay
2003,189,7,8,2003-07-08 00:00:00, 69.20 ,PileBay
2003,191,7,10,2003-07-10 00:00:00, 71.64 ,PileBay
2003,207,7,26,2003-07-26 00:00:00, 89.01 ,PileBay
2003,210,7,29,2003-07-29 00:00:00, 88.71 ,PileBay
2003,217,8,5,2003-08-05 00:00:00, 95.41 ,PileBay
2003,226,8,14,2003-08-14 00:00:00, 99.68 ,PileBay
2003,233,8,21,2003-08-21 00:00:00, 110.04 ,PileBay
2003,234,8,22,2003-08-22 00:00:00, 111.87 ,PileBay
2003,244,9,1,2003-09-01 00:00:00, 114.92 ,PileBay
2003,250,9,7,2003-09-07 00:00:00, 115.53 ,PileBay
2003,274,10,1,2003-10-01 00:00:00, 95.11 ,PileBay
2003,277,10,4,2003-10-04 00:00:00, 111.87 ,PileBay
2003,285,10,12,2003-10-12 00:00:00, 124.67 ,PileBay
2003,294,10,21,2003-10-21 00:00:00, 130.16 ,PileBay
2003,299,10,26,2003-10-26 00:00:00, 127.11 ,PileBay
2003,312,11,8,2003-11-08 00:00:00, 124.06 ,PileBay
2003,315,11,11,2003-11-11 00:00:00, 117.97 ,PileBay
2003,326,11,22,2003-11-22 00:00:00, 117.97 ,PileBay
2003,333,11,29,2003-11-29 00:00:00, 99.68 ,PileBay
2005,127,5,7,2005-05-07 00:00:00, 12.81 ,PileBay
2005,181,6,30,2005-06-30 00:00:00, 110.35 ,PileBay
2005,215,8,3,2005-08-03 00:00:00, 105.78 ,PileBay
2005,226,8,14,2005-08-14 00:00:00, 105.78 ,PileBay
2005,234,8,22,2005-08-22 00:00:00, 106.39 ,PileBay
2005,237,8,25,2005-08-25 00:00:00, 108.82 ,PileBay
2005,251,9,8,2005-09-08 00:00:00, 113.40 ,PileBay
2005,259,9,16,2005-09-16 00:00:00, 127.11 ,PileBay
2005,268,9,25,2005-09-25 00:00:00, 136.26 ,PileBay
2005,282,10,9,2005-10-09 00:00:00, 140.83 ,PileBay
2007,135,5,15,2007-05-15 00:00:00, 8.24 ,PileBay
2007,138,5,18,2007-05-18 00:00:00, 8.24 ,PileBay
2007,157,6,6,2007-06-06 00:00:00, 18.91 ,PileBay
2007,174,6,23,2007-06-23 00:00:00, 27.75 ,PileBay
2007,176,6,25,2007-06-25 00:00:00, 32.01 ,PileBay
2007,180,6,29,2007-06-29 00:00:00, 38.72 ,PileBay
2007,188,7,7,2007-07-07 00:00:00, 43.29 ,PileBay
2007,199,7,18,2007-07-18 00:00:00, 49.39 ,PileBay
2007,206,7,25,2007-07-25 00:00:00, 53.96 ,PileBay
2007,210,7,29,2007-07-29 00:00:00, 60.06 ,PileBay
2007,216,8,4,2007-08-04 00:00:00, 58.53 ,PileBay
2007,217,8,5,2007-08-05 00:00:00, 61.88 ,PileBay
2007,219,8,7,2007-08-07 00:00:00, 66.15 ,PileBay
2007,225,8,13,2007-08-13 00:00:00, 67.37 ,PileBay
2007,234,8,22,2007-08-22 00:00:00, 71.03 ,PileBay
2007,235,8,23,2007-08-23 00:00:00, 73.77 ,PileBay
