datetime,observer,polyid,surveyed,waypoint,nonpup_count,pup_count,water_count,adult_total,pup_total,air_temp,wind_speed,wind_direction,sky_condition,precip
2013-04-04 16:13:00,Withrow/Dahle,JF15,1,JF15A,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF15,1,JF15B,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF15,1,JF15C,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16H,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16J,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16K,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16L,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16CD,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16EF,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16G,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,1,JF16A,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF19,1,JF19BD,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF19,1,JF19A,0,0,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF18,0,JF18A,NA,NA,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,JF16,0,JF16M,NA,NA,,,,,,NA,,
2013-04-04 16:13:00,Withrow/Dahle,Other,1,Other,9,0,,9,0,,,NA,,
2012-08-10 15:10:00,Withrow/Burns,JF15,1,JF15A,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF15,1,JF15B,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF15,1,JF15C,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16H,115,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
