orig_waypoint,waypoint,latitude,longitude
LI01,JF15A,59.71270,-154.21400
LI_dew_008,JF15B,59.71176,-154.23025
LI_dew_010,JF15C,59.72656,-154.23298
LI_DEW51; LI14_ABR; JF16new; DEW_006,JF16H,59.71115,-154.34327
LI17_ABR,JF16J,59.72541,-154.36240
LI18_ABR,JF16K,59.71143,-154.38701
LI19_ABR,JF16L,59.73531,-154.46089
LI02; S1  Seal Is.,JF16C,59.71450 ,-154.39301
LI03; S2,JF16D,59.72220,-154.41901
LI05,JF16E&F,59.74930,-154.43800
LI06,JF16G,59.73200 ,-154.48700
LI_DEW02,JF16A,59.72980,-154.49500
LI07;  Th1,JF19B,59.55880 ,-154.85500
LI09;  Th2,JF19D,59.53830 ,-154.94000
LI_DEW04,JF19A,59.52810 ,-154.85200
LI12,JF18A (NEW),59.68950,-154.69533
LI-16,JF16M (NEW,59.72020,-154.44637
,Other (various winter sites),,
