datetime,datasource,observer,adulttotal,puptotal,airtemp,windspeed,winddirection,skycondition,precip,notes
2013-08-07 22:24:00,NOAA/NMML,Withrow/Jansen/Brady,69,0,40s,>25,NA,Cloudy,No Precip,
2013-08-04 15:02:00,NOAA/NMML,Withrow/Jansen/Brady,193,44,50s,>25,NA,Overcast,Drizzle,
2013-07-12 15:33:00,NOAA/NMML,Withrow,122,49,>70,<5,NA,Cloudy,No Precip,
2013-06-29 15:40:00,NOAA/NMML,Withrow/Burns,58,19,60s,<5,NA,Partly Cloudy,No Precip,
2013-04-04 16:13:00,NOAA/NMML,Withrow/Dahle,9,0,<40,15-May,NA,Cloudy,No Precip,
2012-08-10 15:10:00,NOAA/NMML,Withrow/Burns,262,0,60s,15-May,NA,Partly Cloudy,No Precip,
2012-07-10 14:11:00,NOAA/NMML,Withrow,125,43,50s,16-25,NA,Overcast,No Precip,
2012-04-03 15:30:00,NOAA/NMML,Withrow/Dahle,0,0,22,16-25,NA,Clear,No Precip,
2011-11-07 15:03:00,NOAA/NMML,Withrow/Kugo/Wynne,0,0,<40,>25,NA,Overcast,No Precip,
2011-08-15 17:23:00,NOAA/NMML,Withrow/Yano,136,22,50s,15-May,NA,Partly Cloudy,No Precip,
2011-08-13 21:35:00,NOAA/NMML,Withrow/Yano,180,16,50s,15-May,NA,Partly Cloudy,No Precip,
2011-07-15 14:00:00,NOAA/NMML,Withrow/Burns,138,43,40s,<5,NA,Fog,No Precip,
2011-06-17 13:47:00,NOAA/NMML,Withrow/Burns/Askaok/Van Lanen,75,4,50s,15-May,NA,Clear,No Precip,
2011-04-14 14:37:00,NOAA/NMML,Withrow/Burns/Askaok/Seagers,73,0,<40,15-May,NA,Partly Cloudy,No Precip,
2010-11-03 14:04:00,NOAA/NMML,Withrow/Burns/Askaok,8,0,<40,15-May,NA,Partly Cloudy,No Precip,
2010-08-24 14:18:00,NOAA/NMML,Withrow/Yano,179,0,60s,15-May,NA,Partly Cloudy,No Precip,
2010-08-03 16:14:00,NOAA/NMML,Withrow,188,55,50s,>25,NA,Overcast,No Precip,
2010-07-09 14:27:00,NOAA/NMML,Withrow/Burns/Askaok,142,63,50s,16-25,NA,Overcast,No Precip,
2010-05-28 15:04:00,NOAA/NMML,Withrow/Askoak,30,0,50s,16-25,NA,Overcast,No Precip,
2010-04-03 14:02:00,NOAA/NMML,Withrow/Burns,11,0,<40s,15-May,NA,Clear,No Precip,
2009-08-22 13:59:00,NOAA/NMML,Withrow/Yano,228,NA,50s,15-May,NA,Partly Cloudy,No Precip,
2009-08-20 16:38:00,NOAA/NMML,Withrow/Yano/Gomez,180,NA,40s,15-May,NA,Partly Cloudy,No Precip,
2009-08-20 14:34:00,NOAA/NMML,Withrow/Yano/Gomez,140,NA,40s,15-May,NA,Partly Cloudy,No Precip,
2009-08-15 16:51:00,NOAA/NMML,Withrow/Yano,131,NA,40s,15-May,NA,Partly Cloudy,No Precip,
2009-06-14 15:16:00,NOAA/NMML,Withrow,27,NA,50s,<5,NA,Overcast,No Precip,
2009-06-14 14:25:00,NOAA/NMML,Withrow,21,NA,50s,<5,NA,Overcast,No Precip,
2009-05-09 15:23:00,NOAA/NMML,Withrow,0,NA,40s,15-May,NA,Overcast,No Precip,
2008-08-20 11:44:00,NOAA/NMML,Withrow,216,NA,40s,16-25,NA,Fog,No Precip,
2008-08-15 10:14:00,NOAA/NMML,Withrow,232,NA,40s,15-May,NA,Fog,No Precip,
2008-08-03 16:15:00,NOAA/NMML,London,24,NA,50s,<5,NA,Clear,No Precip,
2008-08-02 14:23:00,NOAA/NMML,Withrow/Yano/London,235,NA,40s,15-May,NA,Fog,No Precip,
2008-07-25 14:47:00,NOAA/NMML,Withrow/Yano,82,NA,60s,15-May,NA,Clear,No Precip,
2008-07-24 14:07:00,NOAA/NMML,Withrow/Yano,151,NA,40s,15-May,NA,Overcast,No Precip,
2005-08-10 16:34:00,NOAA/NMML,Withrow,80,NA,NA,NA,NA,NA,NA,
2003-08-06 18:15:00,Small/ADFG,Wells,171,NA,61-70,Calm,SE,LO,No Precip,
1999-08-23 13:38:00,Small/ADFG,Small,225,NA,41-50,LB,E,LO,Drizzle,
1998-08-22 16:08:00,Small/ADFG,Small,218,NA,51-60,C,NA,HO,NA,
1998-08-13 00:00:00,Small/ADFG,Small,321,NA,NA,NA,NA,NA,NA,no survey time
1991-08-27 15:44:00,Mathisen/Kline,Mathisen/Kline,137,NA,NA,15-25,N,30% Cloud,NA,
1991-08-27 10:28:00,Mathisen/Kline,Mathisen/Kline,122,NA,NA,20-Oct,N,Clear,NA,
1991-08-26 12:08:00,Mathisen/Kline,Mathisen/Kline,12,NA,NA,30,N,Clear,NA,
1991-08-26 11:00:00,Mathisen/Kline,Mathisen/Kline,64,NA,NA,30,N,Clear,NA,
1991-08-25 17:00:00,Mathisen/Kline,Mathisen/Kline,51,NA,NA,NA,NA,NA,NA,
1991-08-25 15:22:00,Mathisen/Kline,Mathisen/Kline,89,NA,NA,20-Oct,W,Cloudy,Showers,
1991-08-24 12:00:00,Mathisen/Kline,Mathisen/Kline,103,NA,NA,45,E,Overcast,NA,
1991-08-23 14:40:00,Mathisen/Kline,Mathisen/Kline,67,NA,NA,0-5,Variable,Clear,NA,
1988-07-05 00:00:00,Mathisen/Kline,Kline,20,NA,NA,NA,NA,NA,NA,no survey time
1987-09-10 00:00:00,Mathisen/Kline,Kline,0,NA,NA,NA,NA,NA,NA,no survey time
1987-08-29 00:00:00,Mathisen/Kline,Kline,75,NA,NA,NA,NA,NA,NA,no survey time
1984-08-06 00:00:00,Mathisen/Kline,Kline,77,NA,NA,NA,NA,NA,NA,no survey time
2005-03-30 12:00:00,ABR,NA,0,NA,3.2,9.32,WSW,Partly Cloudy,NA,
2005-04-25 12:00:00,ABR,NA,0,NA,51.8,6.84,ESE,Clear,NA,
2005-05-04 15:00:00,ABR,NA,101,NA,48.2,17.4,E,Overcast,NA,
2005-05-10 14:00:00,ABR,NA,4,NA,55.4,10.56,ESE,Scattered Clouds,NA,
2005-05-11 13:00:00,ABR,NA,1,NA,59,11.81,ESE,Mostly Cloudy,NA,
2005-05-25 19:00:00,ABR,NA,0,NA,53.6,13.67,ESE,Clear,NA,
2005-05-26 13:00:00,ABR,NA,0,NA,48.2,10.56,E,Mostly Cloudy,NA,
2005-05-31 10:30:00,ABR,NA,0,NA,48.2,14.91,E,Light Rain,Light Rain,
2005-06-28 16:00:00,ABR,NA,105,NA,71.6,10.56,SSW,Clear,NA,
2005-06-29 09:30:00,ABR,NA,96,NA,57.2,5.59,S,Clear,NA,
2005-07-21 12:00:00,ABR,NA,30,NA,57.2,4.35,SE,Overcast,NA,
2005-07-22 12:00:00,ABR,NA,107,NA,62.6,18.64,E,Clear,NA,
2005-07-26 16:00:00,ABR,NA,125,NA,57.2,10.56,ESE,Light Rain,Light Rain,
2005-08-11 16:00:00,ABR,NA,194,NA,71.6,6.84,SSE,Clear,NA,
2005-08-17 10:00:00,ABR,NA,276,NA,55.4,9.32,N,Light Rain,Light Rain,
2005-08-21 11:00:00,ABR,NA,211,NA,59,10.56,WNW,Mostly Cloudy,NA,
2005-08-29 13:00:00,ABR,NA,199,NA,53.6,10.56,WSW,Mostly Cloudy,NA,
2005-09-08 15:00:00,ABR,NA,64,NA,53.6,6.84,E,Clear,NA,
2005-10-10 14:00:00,ABR,NA,2,NA,37.4,8.08,NNE,Mostly Cloudy,NA,
2005-12-13 12:00:00,ABR,NA,0,NA,32,22.99,E,Overcast,NA,
2007-05-21 16:00:00,ABR,NA,0,NA,32,8.08,ESE,Partly Cloudy,NA,
2007-06-20 11:30:00,ABR,NA,51,NA,48.2,4.35,Variable,Clear,NA,
2007-07-16 15:00:00,ABR,NA,238,NA,50,11.81,SW,Overcast,NA,
2007-07-27 10:30:00,ABR,NA,40,NA,60.8,NA,Calm,Clear,NA,
2007-08-14 13:00:00,ABR,NA,311,NA,48.2,9.32,SW,Light Rain,Light Rain,
2007-08-15 14:30:00,ABR,NA,313,NA,48.2,8.08,N,Overcast,NA,
2007-08-29 13:00:00,ABR,NA,86,NA,66.2,6.84,NNW,Partly Cloudy,NA,
2007-09-12 10:30:00,ABR,NA,79,NA,51.8,5.59,WSW,Overcast,NA,
2007-10-11 11:00:00,ABR,NA,0,NA,41,13.67,E,Overcast,NA,
2008-08-02 11:00:00,ABR,NA,230,NA,55.4,5.59,SSE,Overcast,NA,
2008-08-04 13:30:00,ABR,NA,204,NA,57.2,8.08,ESE,Overcast,NA,
2008-08-16 11:00:00,ABR,NA,264,NA,53.6,0,Calm,Overcast,NA,
2008-08-16 17:00:00,ABR,NA,264,NA,57.2,13.67,SSE,Scattered Clouds,NA,
2008-08-17 10:30:00,ABR,NA,312,NA,51.8,3.73,NNE,Mostly Cloudy,NA,
2008-08-17 16:30:00,ABR,NA,357,NA,55.4,14.91,E,Light Rain,Light Rain,
2008-08-18 12:30:00,ABR,NA,221,NA,57.2,3.73,ENE,Overcast,NA,
2009-06-18 00:00:00,Newhalen,NA,30,0,NA,NA,NA,NA,NA,no survey time
2009-06-21 00:00:00,Newhalen,NA,21,0,NA,NA,NA,NA,NA,no survey time
2009-06-24 00:00:00,Newhalen,NA,81,0,NA,NA,NA,NA,NA,no survey time
2009-06-28 00:00:00,Newhalen,NA,76,23,NA,NA,NA,NA,NA,no survey time
2009-07-07 00:00:00,Newhalen,NA,66,11,NA,NA,NA,NA,NA,no survey time
2009-07-27 00:00:00,Newhalen,NA,87,7,NA,NA,NA,NA,NA,no survey time
2009-08-02 00:00:00,Newhalen,NA,192,0,NA,NA,NA,NA,NA,no survey time
2009-08-16 00:00:00,Newhalen,NA,191,0,NA,NA,NA,NA,NA,no survey time
2009-08-25 00:00:00,Newhalen,NA,74,0,NA,NA,NA,NA,NA,no survey time
2009-09-19 00:00:00,Newhalen,NA,47,0,NA,NA,NA,NA,NA,no survey time
