datetime,agency,observer,adulttotal,puptotal,airtemp,windspeed,winddirection,skycondition,precip,notes
2013-08-07 22:24:00,nmml,Withrow/Jansen/Brady,69,0,40s,>25,NA,Cloudy,No Precip,new data
2013-08-04 15:02:00,nmml,Withrow/Jansen/Brady,193,44,50s,>25,NA,Overcast,Drizzle,new data
2013-07-12 15:33:00,nmml,Withrow,122,49,>70,<5,NA,Cloudy,No Precip,new data
2013-06-29 15:40:00,nmml,Withrow/Burns,58,19,60s,<5,NA,Partly Cloudy,No Precip,new data
2013-04-04 16:13:00,nmml,Withrow/Dahle,9,0,<40,5-15,NA,Cloudy,No Precip,new data
2012-08-10 15:10:00,nmml,Withrow/Burns,262,0,60s,5-15,NA,Partly Cloudy,No Precip,
2012-07-10 14:11:00,nmml,Withrow,125,43,50s,16-25,NA,Overcast,No Precip,
2012-04-03 15:30:00,nmml,Withrow/Dahle,0,0,22,16-25,NA,Clear,No Precip,
2011-11-07 15:03:00,nmml,Withrow/Kugo/Wynne,0,0,<40,>25,NA,Overcast,No Precip,
2011-08-15 17:23:00,nmml,Withrow/Yano,136,22,50s,5-15,NA,Partly Cloudy,No Precip,
2011-08-13 21:35:00,nmml,Withrow/Yano,180,16,50s,5-15,NA,Partly Cloudy,No Precip,
2011-07-15 14:00:00,nmml,Withrow/Burns,138,43,40s,>5,NA,Fog,No Precip,
2011-06-17 13:47:00,nmml,Withrow/Burns/Askaok/Van Landen,75,4,50s,5-15,NA,Clear,No Precip,
2011-04-14 14:37:00,nmml,Withrow/Burns/Askaok/Seagers,73,0,<40,5-15,NA,Partly Cloudy,No Precip,
2010-11-03 14:04:00,nmml,Withrow/Burns/Askaok,8,0,<40,5-15,NA,Partly Cloudy,No Precip,
2010-08-24 14:18:00,nmml,Withrow/Yano,179,0,60s,5-15,NA,Partly Cloudy,No Precip,
2010-08-03 16:14:00,nmml,Withrow,188,55,50s,>25,NA,Overcast,No Precip,
2010-07-09 14:27:00,nmml,Withrow/Burns/Askaok,142,63,50s,16-25,NA,Overcast,No Precip,
2010-05-28 15:04:00,nmml,Withrow/Askoak,30,0,50s,16-25,NA,Overcast,No Precip,
2010-04-03 14:02:00,nmml,Withrow/Burns,11,0,<40s,5-15,NA,Clear,No Precip,
2009-08-22 13:59:00,nmml,Withrow/Yano,228,NA,50s,5-15,NA,Partly Cloudy,No Precip,
2009-08-20 16:38:00,nmml,Withrow/Yano/Gomez,180,NA,40s,5-15,NA,Partly Cloudy,No Precip,
2009-08-20 14:34:00,nmml,Withrow/Yano/Gomez,140,NA,40s,5-15,NA,Partly Cloudy,No Precip,updated data
2009-08-15 16:51:00,nmml,Withrow/Yano,131,NA,40s,5-15,NA,Partly Cloudy,No Precip,
2009-06-14 15:16:00,nmml,Withrow,27,NA,50s,<5,NA,Overcast,No Precip,
2009-06-14 14:25:00,nmml,Withrow,21,NA,50s,<5,NA,Overcast,No Precip,
2009-05-09 15:23:00,nmml,Withrow,0,NA,40s,5-15,NA,Overcast,No Precip,
2008-08-20 11:44:00,nmml,Withrow,216,NA,40s,16-25,NA,Fog,No Precip,
2008-08-15 10:14:00,nmml,Withrow,232,NA,40s,5-15,NA,Fog,No Precip,
2008-08-03 16:15:00,nmml,London,24,NA,50s,<5,NA,Clear,No Precip,
2008-08-02 14:23:00,nmml,Withrow/Yano/London,235,NA,40s,5-15,NA,Fog,No Precip,
2008-07-25 14:47:00,nmml,Withrow/Yano,82,NA,60s,5-15,NA,Clear,No Precip,
2008-07-24 14:07:00,nmml,Withrow/Yano,151,NA,40s,5-15,NA,Overcast,No Precip,
2005-08-10 16:34:00,nmml,Withrow,80,NA,NA,NA,NA,NA,NA,
2003-08-06 18:15:00,adfg,Wells,171,NA,61-70,Calm,SE,LO,No Precip,
1999-08-23 13:38:00,adfg,Small,225,NA,41-50,LB,E,LO,Drizzle,
1998-08-22 16:08:00,adfg,Small,218,NA,51-60,C,NA,HO,NA,
1998-08-13 00:00:00,adfg,Small,321,NA,NA,NA,NA,NA,NA,no survey time
1991-08-27 15:44:00,mathisen_kline,Mathisen/Kline,137,NA,NA,15-25,N,30% Cloud,NA,
1991-08-27 10:28:00,mathisen_kline,Mathisen/Kline,122,NA,NA,10-20,N,Clear,NA,
1991-08-26 12:08:00,mathisen_kline,Mathisen/Kline,12,NA,NA,30,N,Clear,NA,
1991-08-26 11:00:00,mathisen_kline,Mathisen/Kline,64,NA,NA,30,N,Clear,NA,
1991-08-25 17:00:00,mathisen_kline,Mathisen/Kline,51,NA,NA,NA,NA,NA,NA,
1991-08-25 15:22:00,mathisen_kline,Mathisen/Kline,89,NA,NA,10-20,W,Cloudy,Showers,
1991-08-24 12:00:00,mathisen_kline,Mathisen/Kline,103,NA,NA,45,E,Overcast,NA,
1991-08-23 14:40:00,mathisen_kline,Mathisen/Kline,67,NA,NA,0-5,Variable,Clear,NA,
1988-07-05 00:00:00,mathisen_kline,Kline,20,NA,NA,NA,NA,NA,NA,no survey time
1987-09-10 00:00:00,mathisen_kline,Kline,0,NA,NA,NA,NA,NA,NA,no survey time
1987-08-29 00:00:00,mathisen_kline,Kline,75,NA,NA,NA,NA,NA,NA,no survey time
1984-08-06 00:00:00,mathisen_kline,Kline,77,NA,NA,NA,NA,NA,NA,no survey time
2005-03-30 12:00:00,pebble_abr,Pebble Mine,0,NA,3.2,9.32,WSW,Partly Cloudy,NA,
2005-04-25 12:00:00,pebble_abr,Pebble Mine,0,NA,51.8,6.84,ESE,Clear,NA,
2005-05-04 15:00:00,pebble_abr,Pebble Mine,101,NA,48.2,17.4,E,Overcast,NA,
2005-05-10 14:00:00,pebble_abr,Pebble Mine,4,NA,55.4,10.56,ESE,Scattered Clouds,NA,
2005-05-11 13:00:00,pebble_abr,Pebble Mine,1,NA,59,11.81,ESE,Mostly Cloudy,NA,
2005-05-25 19:00:00,pebble_abr,Pebble Mine,0,NA,53.6,13.67,ESE,Clear,NA,
2005-05-26 13:00:00,pebble_abr,Pebble Mine,0,NA,48.2,10.56,E,Mostly Cloudy,NA,
2005-05-31 10:30:00,pebble_abr,Pebble Mine,0,NA,48.2,14.91,E,Light Rain,NA,
2005-06-28 16:00:00,pebble_abr,Pebble Mine,105,NA,71.6,10.56,SSW,Clear,NA,
2005-06-29 09:30:00,pebble_abr,Pebble Mine,96,NA,57.2,5.59,S,Clear,NA,
2005-07-21 12:00:00,pebble_abr,Pebble Mine,30,NA,57.2,4.35,SE,Overcast,NA,
2005-07-22 12:00:00,pebble_abr,Pebble Mine,107,NA,62.6,18.64,E,Clear,NA,
2005-07-26 16:00:00,pebble_abr,Pebble Mine,125,NA,57.2,10.56,ESE,Light Rain,NA,
