datetime,observer,data_source,polyid,surveyed,waypoint,nonpup_count,pup_count,water_count,air_temp,wind_speed,wind_direction,sky_condition,precip
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF15,1,JF15A,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF15,1,JF15B,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF15,1,JF15C,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16H,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16J,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16K,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16L,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16CD,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16EF,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16G,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,1,JF16A,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF19,1,JF19BD,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF19,1,JF19A,0,0,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF18,0,JF18A,NA,NA,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,JF16,0,JF16M,NA,NA,,,,NA,,
4/4/13 16:13,Withrow/Dahle,NOAA-NMML,Other,1,Other,9,0,,,,NA,,
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF15,1,JF15A,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF15,1,JF15B,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF15,1,JF15C,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16H,115,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16J,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16K,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16L,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16CD,1,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16EF,116,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16G,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF16,1,JF16A,0,0,,60s,15-May,NA,Partly Cloudy,No Precip
8/10/12 15:10,Withrow/Burns,NOAA-NMML,JF19,1,JF19BD,30,0,,60s,15-May,NA,Partly Cloudy,No Precip
